title,video_len,views,date_time,video_link,thumbnail_link
Binary to Decimal Conversion | GeeksforGeeks,3:52,2.1K views,2 years ago,https://www.youtube.com/watch?v=FrtgeA8VyHI,https://i.ytimg.com/vi/FrtgeA8VyHI/hqdefault.jpg
Happy Numbers | GeeksforGeeks,6:13,3.7K views,2 years ago,https://www.youtube.com/watch?v=TRDpaWeAaUA,https://i.ytimg.com/vi/TRDpaWeAaUA/hqdefault.jpg
K-Dimensional Tree [Delete] | GeeksforGeeks,5:21,2.7K views,2 years ago,https://www.youtube.com/watch?v=TavqLwDGwEs,https://i.ytimg.com/vi/TavqLwDGwEs/hqdefault.jpg
"Guess the Output 41 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",6:25,3.2K views,2 years ago,https://www.youtube.com/watch?v=NLyZ46wIjHQ,https://i.ytimg.com/vi/NLyZ46wIjHQ/hqdefault.jpg
K-Dimensional Tree [Find Minimum] | GeeksforGeeks,4:16,2K views,2 years ago,https://www.youtube.com/watch?v=oRwYNAEuNK8,https://i.ytimg.com/vi/oRwYNAEuNK8/hqdefault.jpg
"Guess the Output 40 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",2:38,3.3K views,2 years ago,https://www.youtube.com/watch?v=6DACvKJRgho,https://i.ytimg.com/vi/6DACvKJRgho/hqdefault.jpg
K-Dimensional Tree [Search and Insert] | GeeksforGeeks,7:18,15K views,2 years ago,https://www.youtube.com/watch?v=2Gul_-cbWM0,https://i.ytimg.com/vi/2Gul_-cbWM0/hqdefault.jpg
"Guess the Output 39 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:21,3.3K views,2 years ago,https://www.youtube.com/watch?v=LCD5HEELIDA,https://i.ytimg.com/vi/LCD5HEELIDA/hqdefault.jpg
Webinar | How to Begin with Competitive Programming? | GeeksforGeeks,54:51,18K views,Streamed 2 years ago,https://www.youtube.com/watch?v=k4286q_Tovc,https://i.ytimg.com/vi/k4286q_Tovc/hqdefault.jpg
Course Overview | System Design | GeeksforGeeks,3:50,4.8K views,2 years ago,https://www.youtube.com/watch?v=fMJvyQQ2Hqc,https://i.ytimg.com/vi/fMJvyQQ2Hqc/hqdefault.jpg
Amicable Numbers | GeeksforGeeks,3:52,3.1K views,2 years ago,https://www.youtube.com/watch?v=gYX-A6U-XDw,https://i.ytimg.com/vi/gYX-A6U-XDw/hqdefault.jpg
Floor and Ceil Value from a Binary Search Tree | GeeksforGeeks,8:53,3.9K views,2 years ago,https://www.youtube.com/watch?v=FnA9XGfydNI,https://i.ytimg.com/vi/FnA9XGfydNI/hqdefault.jpg
"Guess the Output 38 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",2:50,3.2K views,2 years ago,https://www.youtube.com/watch?v=RRco_y_rwu0,https://i.ytimg.com/vi/RRco_y_rwu0/hqdefault.jpg
Neon Number | GeeksforGeeks,3:18,2.6K views,2 years ago,https://www.youtube.com/watch?v=g2Kp_2xPVHY,https://i.ytimg.com/vi/g2Kp_2xPVHY/hqdefault.jpg
Automorphic number | GeeksforGeeks,3:53,6.7K views,2 years ago,https://www.youtube.com/watch?v=U7RpbcsbUIE,https://i.ytimg.com/vi/U7RpbcsbUIE/hqdefault.jpg
Palindrome Number | GeeksforGeeks,4:11,4.5K views,2 years ago,https://www.youtube.com/watch?v=59V9QcuayIQ,https://i.ytimg.com/vi/59V9QcuayIQ/hqdefault.jpg
"Guess the Output 37 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:07,3.4K views,2 years ago,https://www.youtube.com/watch?v=UPTz7JZnMXs,https://i.ytimg.com/vi/UPTz7JZnMXs/hqdefault.jpg
Empowering Women to Code | GeeksforGeeks,0:35,3.2K views,2 years ago,https://www.youtube.com/watch?v=2o2Qxp1nedk,https://i.ytimg.com/vi/2o2Qxp1nedk/hqdefault.jpg
Armstrong Number | GeeksforGeeks,6:10,5.2K views,2 years ago,https://www.youtube.com/watch?v=ivjDNztMpZU,https://i.ytimg.com/vi/ivjDNztMpZU/hqdefault.jpg
"Guess the Output 36 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",2:13,3.4K views,2 years ago,https://www.youtube.com/watch?v=uMKPN6AeFUA,https://i.ytimg.com/vi/uMKPN6AeFUA/hqdefault.jpg
"Guess the Output 35 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",2:25,3.6K views,2 years ago,https://www.youtube.com/watch?v=b0-HWurpDr8,https://i.ytimg.com/vi/b0-HWurpDr8/hqdefault.jpg
Maximum of all subarrays of size 'k' using Sliding Window Technique | GeeksforGeeks,14:43,47K views,2 years ago,https://www.youtube.com/watch?v=m-Dqu7csdJk,https://i.ytimg.com/vi/m-Dqu7csdJk/hqdefault.jpg
"Guess the Output 34 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",4:46,3.8K views,2 years ago,https://www.youtube.com/watch?v=dHuKi7u5DR4,https://i.ytimg.com/vi/dHuKi7u5DR4/hqdefault.jpg
Placement100 | GeeksforGeeks,0:29,33K views,2 years ago,https://www.youtube.com/watch?v=2wEA8nuThj8,https://i.ytimg.com/vi/2wEA8nuThj8/hqdefault.jpg
Pangram Checking | GeeksforGeeks,5:41,10K views,2 years ago,https://www.youtube.com/watch?v=Mhc4JJAaaYM,https://i.ytimg.com/vi/Mhc4JJAaaYM/hqdefault.jpg
Cracking On-Campus Interviews  | Part-2 | SDE Interview experiences | GeeksforGeeks,26:35,1.7K views,2 years ago,https://www.youtube.com/watch?v=WuBzEnsszxs,https://i.ytimg.com/vi/WuBzEnsszxs/hqdefault.jpg
Cracking On-Campus Interviews  | Part-1 | SDE Interview experiences | GeeksforGeeks,23:59,3.1K views,2 years ago,https://www.youtube.com/watch?v=IiCChMYfKpw,https://i.ytimg.com/vi/IiCChMYfKpw/hqdefault.jpg
"Guess the Output 33 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:35,3.4K views,2 years ago,https://www.youtube.com/watch?v=KbMDQWxpzY0,https://i.ytimg.com/vi/KbMDQWxpzY0/hqdefault.jpg
Cutting a rod problem | GeeksforGeeks,9:02,29K views,2 years ago,https://www.youtube.com/watch?v=oqdttaJ_C6o,https://i.ytimg.com/vi/oqdttaJ_C6o/hqdefault.jpg
"Guess the Output 32 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:28,3.6K views,2 years ago,https://www.youtube.com/watch?v=AibvkE9EIRA,https://i.ytimg.com/vi/AibvkE9EIRA/hqdefault.jpg
Minimum Cost Path Problem | GeeksforGeeks,9:36,14K views,2 years ago,https://www.youtube.com/watch?v=8dzfZNUnvJ8,https://i.ytimg.com/vi/8dzfZNUnvJ8/hqdefault.jpg
"Guess the Output 31 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",5:41,3.8K views,2 years ago,https://www.youtube.com/watch?v=AmcEbG7OEfM,https://i.ytimg.com/vi/AmcEbG7OEfM/hqdefault.jpg
Matrix Chain Multiplication | GeeksforGeeks,11:32,39K views,2 years ago,https://www.youtube.com/watch?v=gwmitwgz87s,https://i.ytimg.com/vi/gwmitwgz87s/hqdefault.jpg
Naive Algorithm for Pattern Searching | GeeksforGeeks,5:29,49K views,2 years ago,https://www.youtube.com/watch?v=nK7SLhXcqRo,https://i.ytimg.com/vi/nK7SLhXcqRo/hqdefault.jpg
Strengthen Core CS Subjects | GeeksforGeeks,SHORTS,2.8K views,2 years ago,https://www.youtube.com/shorts/iZAlSZMVLoE,https://i.ytimg.com/vi/iZAlSZMVLoE/hq720_2.jpg
"Guess the Output 30 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",2:42,4.2K views,2 years ago,https://www.youtube.com/watch?v=cekV8mn--a0,https://i.ytimg.com/vi/cekV8mn--a0/hqdefault.jpg
"Guess the Output 29 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",5:21,4.2K views,2 years ago,https://www.youtube.com/watch?v=5GaSvjtdV7k,https://i.ytimg.com/vi/5GaSvjtdV7k/hqdefault.jpg
"Guess the Output 28 | Tricky C codes for Beginners, Technical Interviews & Gate | GeeksforGeeks",3:39,4.6K views,2 years ago,https://www.youtube.com/watch?v=RSx2dhj7MiA,https://i.ytimg.com/vi/RSx2dhj7MiA/hqdefault.jpg
